30  40  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-02   5.8823529411764709e-06   5.8823529411764709e-08  ! rhol, rhog, mul, mug
 5.8823529411764709e-06   5.8823529411764709e-08  ! sigmal, sigmag
 1.4906755084711533e-04   2.8719723183391007e-03   8.4033613445378154e-05   0.0000000000000000e+00   5.0000000000000000e+00  ! f, g, st, Bx, Bz
 1.1299999999999999e+00  ! alpha
 2.3417088139119426e-04  -1.7518485662065217e-01  ! gamma
-8.0405266042211543e-01  -5.9455808737928906e-01  ! a
-1.3659345760384115e-02   0.0000000000000000e+00  ! U1 = A*(cosh(k1*y)-1) + B*sinh(k1*y) + 1
-1.3659345760384115e-02   0.0000000000000000e+00  ! U2 = A*(cosh(k2*y)-1) + B*sinh(k2*y) + 1
-7.8525238472132594e-02  -5.8044659144983378e-02   5.7210189141883316e-01  -7.7410528135716383e-01
-7.7092732213869100e-02  -5.6985749500816509e-02   5.7192433116116426e-01  -7.7386507037961427e-01
-7.3938943592836148e-02  -5.4654462126895662e-02   5.7154806398122893e-01  -7.7335603997398394e-01
-6.9577395824039961e-02  -5.1430387075277480e-02   5.7105981403631079e-01  -7.7269551357522193e-01
-6.4735179060376680e-02  -4.7850988119741124e-02   5.7055961725482962e-01  -7.7201882355199281e-01
-6.0254548569653781e-02  -4.4538866279082205e-02   5.7013439859126758e-01  -7.7144356597077557e-01
-5.6941276850381396e-02  -4.2089660938451935e-02   5.6984243020192005e-01  -7.7104857511625102e-01
-5.5415264744845920e-02  -4.0961615433079669e-02   5.6971423280568412e-01  -7.7087514230834819e-01
-5.5415264744845920e-02  -4.0961615433079669e-02   5.6971423280568412e-01  -7.7087514230834819e-01
-5.4255337873768628e-02  -4.0104183848049951e-02   5.6961940032075353e-01  -7.7074684732020571e-01
-5.1712863531587286e-02  -3.8224754911533029e-02   5.6941933205589412e-01  -7.7047618267991114e-01
-4.8220150244470128e-02  -3.5642893767205551e-02   5.6916168984196247e-01  -7.7012762735005291e-01
-4.4371034295640724e-02  -3.2797570659776579e-02   5.6890037889835932e-01  -7.6977410710907535e-01
-4.0833057361594267e-02  -3.0182242633774791e-02   5.6868071231434880e-01  -7.6947692471688900e-01
-3.8229988042525337e-02  -2.8258011143634798e-02   5.6853144389255050e-01  -7.6927498144740236e-01
-3.7034547600308047e-02  -2.7374321192144599e-02   5.6846636401920159e-01  -7.6918693540953831e-01
-3.7034547600308047e-02  -2.7374321192144599e-02   5.6846636401920159e-01  -7.6918693540953831e-01
-3.6127279973891722e-02  -2.6703653307298743e-02   5.6841842081629379e-01  -7.6912207328451521e-01
-3.4142635256029168e-02  -2.5236569635434671e-02   5.6831787967269187e-01  -7.6898605119547725e-01
-3.1424707604883091e-02  -2.3227429466825537e-02   5.6818977566356077e-01  -7.6881273822985408e-01
-2.8439874339687404e-02  -2.1020985516538197e-02   5.6806174270483301e-01  -7.6863951983484924e-01
-2.5705109901861541e-02  -1.8999389330799005e-02   5.6795595755156203e-01  -7.6849639935720804e-01
-2.3697939256460722e-02  -1.7515641530042800e-02   5.6788527507629638e-01  -7.6840076942729407e-01
-2.2777474042251555e-02  -1.6835216655847605e-02   5.6785482108436347e-01  -7.6835956632546010e-01
-2.2777474042251555e-02  -1.6835216655847605e-02   5.6785482108436347e-01  -7.6835956632546010e-01
-2.2079422878547188e-02  -1.6319210769463431e-02   5.6783254516168824e-01  -7.6832942770198975e-01
